股票代碼,股票名稱,平均成交量,平均預期回報,波動率(標準差)
6257,矽格 SIGURD,65262.802475,0.0963594004393788,0.2615593227132833
2301,光寶科 LTC,117108.108925,0.029257397571222,0.2291344275041121
2331,精英 Elitegroup,80244.425275,0.0537779694392452,0.3583857739363976
2352,佳世達 Qisda,212078.44863333332,0.0608865371691766,0.3280306572613595
2356,英業達 Inventec,204343.36912500003,0.062454618428041,0.298970346757556
2357,華碩 Asustek,65673.78216806722,0.4798993372940148,1.2115304423770428
2376,技嘉 GIGABYTE,69209.4382,0.0955364857261851,0.3052421883099063
2377,微星 MSI,113340.73806666669,0.2217417651024318,0.3523240951642676
2382,廣達 QCI,166880.8111416667,0.0148876868590663,0.2119784634247342
2405,浩鑫 Shuttle,97178.41753333333,0.0033171305259842,0.498712566848791
2474,可成 Catcher,175793.42440833335,0.178094247520794,0.3814030651886065
