股票代碼,股票名稱,平均成交量,平均預期回報,波動率(標準差)
2022,聚亨 TYCOONS,48192.96356302521,0.04353042304847077,0.35488431450893854
2023,燁輝 YP,61260.275275,-0.014414884378393555,0.19821037877386613
2024,志聯工業 CHIH LIEN,9180.533449999999,0.10878952576057821,0.2746153158880375
2027,大成鋼 TC,72799.06160833333,0.05915122292110131,0.25588375554592857
2029,盛餘 Sheng Yu Steel,6479.304108333334,0.0034817490933192197,0.2161395645779786
2030,彰源 FROCH,18718.224675,0.002085171914278483,0.27134762615510727
2031,新光鋼鐵 Hsin Kuang Steel,43379.022983333336,0.04147460648981194,0.3153236831062209
2032,新鋼工業 Sinkang,7091.674733333334,-0.041717059551086066,0.26418644192306756
2033,佳大世界 Chia Ta,4833.436566666667,-0.03479102753976926,0.353586313761607
2034,允強 Yeun Chyang Industrial,25161.99915,0.020919721938659208,0.23187736125478348
2038,海光企業 HAIKWANG,12089.262916666665,-0.060160975395998406,0.28048939392637906
9958,世紀鋼 CIAS,38167.938883333336,0.3265443996446151,0.5276988970110228
2101,南港輪胎 Nan Kang Rubber Tire,60577.59925,0.043312975339249604,0.23702076858681698
2102,泰豐輪胎 FEDERAL CORP,33198.524025,-0.03142918594866062,0.2745273689429377
2103,台橡 TSRC,49487.54564999999,-0.017763619643374917,0.2503212851219848
2104,中國橡膠 China Synthetic Rubber,45653.440291666666,0.01474965790000482,0.21609292078838135
2105,正新橡膠 CST,118927.88331666666,-0.026032991157902474,0.2421724508241425
2106,建大工業 Kenda Rubber Ind.,38748.200300000004,0.005757019553520593,0.24074087775031633
2107,厚生 Formosan Rubber Group,41220.592058333335,-0.01717092063771375,0.23038546832216278
2108,南帝化工 Nantex,20810.47375833333,0.055276016621812696,0.2618158017594288
2109,華豐橡膠 Hwa Fong,23609.4678,0.005202096776168341,0.32754384594369496
2201,裕隆汽車 Yulon Motor,126779.80825833333,-0.0314535045582105,0.2629618499158563
2204,中華汽車 China-Motor,71252.73787499998,0.10423801445137881,0.32093690472322417
2206,三陽工業 Sanyang Industry,82644.365725,0.10026996095595297,0.31887378119811605
2207,和泰汽車 Hotai Motor,9137.313866666667,0.30525935373892876,0.3225689091822098
2227,裕日車 YNM,5526.627483333333,0.2188067772243545,0.38575863468328275
1436,福益 FUI,2504.7364333333335,0.34431441157360543,0.8432450232137884
1442,名軒 ADVANCETEK,8394.949174999998,0.04630138321358235,0.2505162583250221
1808,國賓大 KOBIN,11926.228925,0.16191301655224533,0.28331554725853614
2501,國建 Cathay Const.,66122.72006666666,0.08311166622560107,0.2623127128651978
2504,國產 CATHAYRED GDC,97569.33765833333,0.033222595776954744,0.27822121542823336
2505,國揚 Ky,56023.86114166667,0.05996285457077488,0.343110611385246
2509,全坤建 CHAINQUI,8723.559000000001,0.027932701148836614,0.2762088945936757
2511,太子 PHD,75004.09258333333,0.010630410259243606,0.28952911236118006
2515,中工 BES,159049.06378333332,0.015370861463812613,0.23172696977839508
2516,新建 New Asia,16168.188758333334,0.006402454751911257,0.26146863338577614
2520,冠德 Kindom,86942.39198333332,0.09209867109534708,0.378540867998409
2524,京城 KTC,9557.766908333335,0.03629153439803212,0.2905093811263615
2527,宏璟 Hung Ching,14292.106133333333,0.07770595342373277,0.3238377223259334
2530,華建 Delpha Construction,19827.849291666666,0.06592427010311663,0.22947960808224455
2534,宏盛 HSC,54546.035533333335,0.09910612197544189,0.29629395306971834
2535,達欣工 DA CIN,16713.738875000003,0.023543067654432592,0.20692122266518742
2536,宏普 Hung Poo,15739.95575,-0.034597713120547824,0.2747942617379592
2537,聯上開發 WE &WIN,11425.391825,0.03615275379141081,0.31633215890636435
2538,基泰 Kee Tai,41821.80831666666,0.01398814056309905,0.2721593286587697
2539,櫻建 SAKURAD,1040.029575,0.02243949355338337,0.20848651261584022
2542,興富發 Highwealth,80726.05094957985,0.05348223162683685,0.28744745879804956
2543,皇昌 Hwang Chang,5310.509933333334,0.04329463488095198,0.23788866413685558
2545,皇翔 Huang Hsiang,25206.867183333332,0.016088250357230383,0.3453727848038534
2546,根基 Kedge,4397.432983333333,0.0692908358913451,0.23527028399229355
2547,日勝生 Radium,87270.61363333333,-0.019889405852068998,0.35950472086955004
2548,華固 HUAKU,27140.75495833333,0.04625107045269905,0.252913911038109
2841,台開 TDC,58526.1816,-0.017733325076373596,0.21806078545749644
5515,建國 CHIEN KUO,14971.719433333334,-0.03523902538959345,0.20032507966117688
5522,遠雄建設 Farglory,29831.198766666665,-0.029689002896659544,0.2264890424342883
5525,順天 SWEETEN,4626.110566666667,0.04702131420658873,0.20927652357992785
5531,鄉林建設 SHINING,18855.85543333333,-0.06494944614002862,0.322879142632529
5533,皇鼎建設 FOUNDING,7973.2954,-0.04071858675918083,0.12896175178979377
5534,長虹 CHONG HONG,27756.318483333336,0.07349345054281753,0.31175284375488366
2208,台船公司 CSBC,32248.04085,0.06955864722125948,0.4905902769431207
2601,益航 FSC,66984.19165000001,-0.07989738531321777,0.3712066222985731
2603,長榮 EMC,257736.4743416667,0.009493773766404479,0.3093693660063602
2605,新興 SNC,26088.935458333337,-0.06842242353585637,0.21056072956589333
2606,裕民 U-Ming,35175.05565833333,-0.035851349043956815,0.23926325681307203
2607,榮運 EITC,54069.849716666664,-0.04558888602161115,0.20936987239806187
2608,大榮 T.JOIN,15791.806199999999,0.07601578107250506,0.20478283210242296
2609,陽明 YMTC,254229.13046218487,0.05556323572200772,0.4905020218514334
2610,華航 CAL,340635.06084166665,0.0131600164524448,0.27322392155211656
2611,志信 TSI,10757.685275,-0.03585269273860103,0.28250181660928025
