股票代碼,股票名稱,本月成交量(千股),本月成交值(千元),本月底市價(元),上月底市價(元),本月平均價(元),發行股份(千股),上市股份(千股),資本額(百萬元),預期回報
2462,良得電 LINETEK,79579.314,4427045.263,55.8,52.9,55.63,80575.59,80575.59,805.7558999999999,0.05482041587901699
2467,志聖 C Sun,56796.848,1133890.418,17.8,20.7,19.96,143661.61,143661.61,1436.6161,-0.14009661835748785
2472,立隆電 LEION,79626.788,1345977.871,14.2,16.95,16.9,146997.0,146997.0,1469.97,-0.16224188790560473
2476,鉅祥 GS,54293.961,1449842.154,23.9,28.6,26.7,244304.339,244304.339,2443.0433900000003,-0.16433566433566443
2478,大毅 Ta-I,156945.168,7028275.778,39.45,47.8,44.78,195830.943,195830.943,1958.30943,-0.17468619246861913
2483,百容 ECE,8605.329,142603.548,14.65,17.5,16.57,116965.807,116965.807,1169.65807,-0.16285714285714284
2484,希華 Siward,34930.192,535619.059,13.95,16.15,15.33,143112.884,143112.884,1431.12884,-0.13622291021671823
2492,華新科 WTC,210031.721,3854330.801,16,20.2,18.35,663802.265,663802.265,6638.022650000001,-0.20792079207920788
2493,揚博 AMPOC,74688.527,1523776.63,17.2,22,20.4,114437.39,114437.39,1144.3738999999998,-0.21818181818181823
3003,健和興 KST,18570.963,569886.435,28,29.35,30.69,119937.65,119937.65,1199.3765,-0.045996592844974496
3011,今皓 JH,24656.909,340528.885,12,14.5,13.81,112719.251,112719.251,1127.19251,-0.1724137931034483
3015,全漢 SPI,44706.279,1866432.464,39.3,41.8,41.75,218252.852,218252.852,2182.52852,-0.059808612440191394
3023,信邦 SINBON,31196.261,719996.254,20.6,23.3,23.08,185291.86,185291.86,1852.9186,-0.11587982832618023
3026,禾伸堂 HOLY  STONE,121562.621,5827561.294,46.4,46.8,47.94,287217.454,287217.454,2872.17454,-0.008547008547008517
3032,偉訓 COMPUCASE,22098.16,352421.731,14.2,16.35,15.95,101116.367,101116.367,1011.16367,-0.13149847094801234
3037,欣興 Unimicron,254561.251,10956693.589,39.05,46.4,43.04,1547405.996,1547405.996,15474.05996,-0.15840517241379315
3042,晶技 TXC,84206.099,4636524.399,52.5,58.9,55.06,287340.93,287340.93,2873.4093,-0.10865874363327672
3044,健鼎 Tripod,42665.899,4638963.242,110,108,108.73,473518.827,473518.827,4735.18827,0.018518518518518517
3058,立德 Leader,36639.775,1002765.153,23.25,30.3,27.37,128549.523,118549.523,1285.49523,-0.23267326732673269
3090,日電貿 NDB,21821.996,776732.043,32,37.45,35.59,75242.797,75242.797,752.4279700000001,-0.1455273698264353
3229,晟鈦 CHEER TIME,17196.806,289506.803,15,17.3,16.83,60463.7,60463.7,604.637,-0.13294797687861276
3296,勝德 POWERTECH,19104.407,685497.159,33.9,37.25,35.88,112098.861,112098.861,1120.98861,-0.0899328859060403
3308,聯德電子 BESTEC,19996.078,534490.517,22.6,27.45,26.73,90370.9,90370.9,903.709,-0.17668488160291432
3376,新日興 SZS,40009.369,6061745.437,130,159.5,151.51,149338.825,149338.825,1493.38825,-0.18495297805642633
3501,維熹科技 Well Shin,19101.333,1199893.115,53.9,66.5,62.82,102478.061,102478.061,1024.78061,-0.18947368421052635
3533,嘉澤 LOTES,26216.526,4312559.456,156.5,177,164.5,83104.1,77104.1,831.041,-0.11581920903954802
3605,宏致電子 ACES,14001.326,1685638.921,107,128.5,120.39,94782.218,94782.218,947.82218,-0.16731517509727625
3607,谷崧精密 Coxon,15731.45,1331351.014,77,93.5,84.63,114488.0,114488.0,1144.88,-0.17647058823529413
3653,健策 JENTECH,12551.782,2082646.872,137.5,185,165.92,72302.722,72302.722,723.0272199999999,-0.25675675675675674
5469,瀚宇博德 Board,29607.73,898424.306,27.9,31.6,30.34,399926.416,399926.416,3999.26416,-0.11708860759493679
6108,競國實業 APCB INC.,86536.196,3530053.789,38,42.5,40.79,153966.925,153966.925,1539.66925,-0.10588235294117647
6115,鎰勝 I-SHENG,45578.896,2814678.475,57.3,62.5,61.75,159249.255,159249.255,1592.49255,-0.08320000000000005
